ÈÕÆÚ,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH,000428.SZ,000610.SZ,000613.SZ,200613.SZ,600258.SH,600754.SH,601007.SH,900934.SH
2014/3/3,0,1.214,0.1912,-1.3423,0,4.4199,2.5958,0.0655,,1.1274,1.2811,0.0758,,0.892,0.9507,0.1924,5196652333,1298852895,1360517792,1360517792,3670004000,6762279989,2490000000,6762279989,43.5849,153.1254,-867.4881,-575.5664,31.1096,24.1633,34.4908,14.9322,3.1424,2.8393,23.2919,15.4539,3.4335,2.0999,1.8492,1.2976,2.9185,1.9557,80.6349,53.5001,1.238,3.3978,4.6567,2.0997
2014/3/4,0,0.5997,0.1908,0.2268,0,-1.5873,2.5301,-1.6372,,1.0183,0.7834,0.1584,,0.5149,1.6341,0.0673,5196652333,1306642118,1363114200,1363114200,3670004000,6654942211,2553000000,6654942211,43.5849,154.0437,-869.1437,-577.3911,31.1096,23.7798,35.3634,14.6988,3.1424,2.8563,23.3364,15.5029,3.4335,2.0665,1.896,1.2774,2.9185,1.9674,80.7888,53.6697,1.238,3.3438,4.7745,2.0669
2014/3/5,0,-0.2981,-0.5714,-1.81,0,0,-0.9401,-0.1332,,1.4747,1.0134,0.092,,0.3657,1.2196,0.0842,5196652333,1302747507,1355324976,1355324976,3670004000,6654942211,2529000000,6654942211,43.5849,153.5845,-864.1771,-567.0986,31.1096,23.7798,35.031,14.6842,3.1424,2.8478,23.203,15.2265,3.4335,2.0665,1.8782,1.2761,2.9185,1.9615,80.3271,52.713,1.238,3.3438,4.7296,2.0649
2014/3/6,0,0.299,-1.341,1.1521,0,-1.4785,0.5931,1.6,,1.0493,0.7355,0.0795,,0.4482,1.101,0.1071,5196652333,1306642118,1337150120,1337150120,3670004000,6556549248,2544000000,6556549248,43.5849,154.0437,-852.5885,-573.5957,31.1096,23.4282,35.2387,14.9172,3.1424,2.8563,22.8919,15.401,3.4335,2.036,1.8893,1.2963,2.9185,1.9674,79.2499,53.3169,1.238,3.2944,4.7577,2.0976
2014/3/7,0,-0.7452,-1.9417,-0.6834,0,-1.8417,-0.3538,-1.2467,,1.1415,0.9744,0.0431,,0.5798,0.8244,0.0268,5196652333,1296905590,1311186040,1311186040,3670004000,6435794249,2535000000,6435794249,43.5849,152.8958,-836.0334,-569.1995,31.1096,22.9967,35.1141,14.7197,3.1424,2.835,22.4474,15.2829,3.4335,1.9985,1.8827,1.2792,2.9185,1.9527,77.7111,52.9083,1.238,3.2337,4.7409,2.0698
2014/3/10,0,-4.2042,-3.7624,-2.2936,0,-3.7526,-3.432,-1.9934,,1.1763,0.8379,0.0594,,0.6418,0.752,0.1321,5196652333,1242381030,1261854288,1261854288,3670004000,6194284249,2448000000,6194284249,43.5849,146.4678,-804.5787,-557.1741,31.1096,22.1337,33.909,14.4525,3.1424,2.7158,21.6028,14.96,3.4335,1.9235,1.8181,1.256,2.9185,1.8706,74.7873,51.7905,1.238,3.1124,4.5782,2.0323
2014/3/11,0,0.1567,0.4115,-0.939,0,1.083,-0.3676,0.339,,0.7955,0.4527,0.0663,,0.2978,0.5317,0.061,5196652333,1244328336,1267047104,1267047104,3670004000,6261370360,2439000000,6261370360,43.5849,146.6973,-807.8897,-552.0612,31.1096,22.3734,33.7843,14.505,3.1424,2.7201,21.6917,14.8228,3.4335,1.9443,1.8114,1.2605,2.9185,1.8736,75.0951,51.3153,1.238,3.1461,4.5613,2.0396
2014/3/12,0,0.4695,0,-0.9479,0,0,3.567,-1.2162,,0.5982,0.3833,0.0708,,0.3127,1.233,0.0514,5196652333,1250170253,1267047104,1267047104,3670004000,6261370360,2526000000,6261370360,43.5849,147.386,-807.8897,-546.9114,31.1096,22.3734,34.9894,14.3323,3.1424,2.7328,21.6917,14.6845,3.4335,1.9443,1.876,1.2455,2.9185,1.8824,75.0951,50.8366,1.238,3.1461,4.724,2.0154
2014/3/13,0,0.7788,0.8197,1.4354,0,0.7143,0.5938,0.6156,,0.7552,0.3866,0.0335,,0.2939,0.8339,0.0272,5196652333,1259906781,1277432736,1277432736,3670004000,6306094434,2541000000,6306094434,43.5849,148.5339,-814.5118,-554.4179,31.1096,22.5332,35.1972,14.4152,3.1424,2.7541,21.8695,14.886,3.4335,1.9582,1.8871,1.2527,2.9185,1.897,75.7106,51.5343,1.238,3.1686,4.7521,2.027
2014/3/14,0,0,0.6098,0,-10.0252,-1.5603,0,-0.8838,,0.7722,0.3628,0.0238,0.2206,0.3332,0.5986,0.0851,5196652333,1259906781,1285221960,1285221960,3302078000,6207701471,2541000000,6207701471,43.5849,148.5339,-819.4783,-554.5302,27.9908,22.1817,35.1972,14.2938,3.1424,2.7541,22.0029,14.889,3.0892,1.9276,1.8871,1.2422,2.9185,1.897,76.1723,51.5448,1.1139,3.1191,4.7521,2.01
2014/3/17,0,1.5456,4.4444,1.6509,-3.9944,1.8732,2.4793,-1.2346,,0.8589,1.2146,0.045,1.3862,0.5391,1.3866,0.12,5196652333,1279379838,1342342936,1342342936,3170180000,6323984064,2604000000,6323984064,43.5849,150.8296,-855.8996,-563.357,26.8727,22.5972,36.0698,14.1116,3.1424,2.7967,22.9808,15.126,2.9658,1.9638,1.9339,1.2263,2.9185,1.9263,79.5577,52.3652,1.0694,3.1775,4.8699,1.9843
2014/3/18,0,1.3699,1.1605,0.232,2.4818,1.0608,-0.4608,0.5556,,1.1044,2.2576,0.1074,1.6357,0.5628,0.8688,0.0379,5196652333,1296905590,1357921384,1357921384,3248856000,6391070175,2592000000,6391070175,43.5849,152.8958,-865.8326,-564.9144,27.5396,22.8369,35.9036,14.1946,3.1424,2.835,23.2475,15.1679,3.0395,1.9846,1.925,1.2336,2.9185,1.9527,80.481,52.51,1.0959,3.2112,4.8475,1.996
2014/3/19,0,1.952,-0.1912,0,-1.567,-0.2099,0.2315,-0.8287,,2.1251,0.7481,0.0223,0.9759,0.3917,0.8808,0.0564,5196652333,1322220564,1355324976,1355324976,3197948000,6377652952,2598000000,6377652952,43.5849,155.8803,-864.1771,-565.0145,27.1081,22.7889,35.9867,14.0793,3.1424,2.8903,23.203,15.1705,2.9918,1.9804,1.9295,1.2235,2.9185,1.9908,80.3271,52.5193,1.0787,3.2045,4.8587,1.9798
