ÈÕÆÚ,000889.SZ,002467.SZ,300578.SZ,600050.SH
2015/7/9,22.7172,6.6061,,7.0112
2015/7/10,22.7172,7.2691,,7.6335
2015/7/13,22.7172,7.996,,7.5946
2015/7/14,22.7172,8.7985,,7.089
2015/7/15,22.7172,7.9204,,6.7292
2015/7/16,22.7172,8.2344,,6.7292
2015/7/17,22.7172,9.0253,,7.0112
2015/7/20,22.7172,9.3626,,6.914
2015/7/21,22.7172,9.4033,,6.9431
2015/7/22,22.7172,9.4033,,6.807
2015/7/23,22.7172,9.8103,,7.2057
2015/7/24,22.7172,9.3916,,6.9626
2015/7/27,22.7172,8.4554,,6.2624
2015/7/28,22.7172,7.618,,5.9124
2015/7/29,22.7172,8.246,,6.243
2015/7/30,22.7172,8.025,,5.9999
2015/7/31,22.7172,8.025,,6.0193
2015/8/3,22.7172,8.025,,6.0971
2015/8/4,20.4455,8.025,,6.2624
2015/8/5,18.401,8.025,,6.0874
2015/8/6,16.5638,8.025,,5.9804
2015/8/7,17.1268,8.025,,6.1068
2015/8/10,16.7021,8.025,,6.7195
2015/8/11,16.1589,8.025,,6.8362
2015/8/12,15.3094,8.025,,6.982
2015/8/13,15.7243,8.025,,6.9917
2015/8/14,15.7243,8.025,,7.2154
2015/8/17,16.149,8.025,,7.2251
2015/8/18,14.7958,8.025,,6.5153
2015/8/19,14.8057,8.025,,7.1668
2015/8/20,13.8562,8.8276,,7.4682
2015/8/21,12.7386,7.9436,,7.1473
2015/8/24,11.4628,7.1469,,6.4375
2015/8/25,10.3155,6.4317,,5.7957
2015/8/26,9.2869,5.7862,,5.4261
2015/8/27,9.1979,6.1409,,5.7762
2015/8/28,10.1177,6.6236,,6.2624
2015/8/31,10.7804,6.0013,,6.3694
2015/9/1,9.7023,5.8153,,6.3208
2015/9/2,8.7331,5.6292,,6.1749
2015/9/7,9.0001,5.8676,,5.9999
2015/9/8,9.7913,6.4259,,6.0193
2015/9/9,10.0584,6.6643,,6.1944
2015/9/10,10.0584,6.7166,,6.0874
2015/9/11,10.0782,6.8853,,6.0388
2015/9/14,9.0694,6.1991,,6.1068
2015/9/15,9.6826,5.8269,,5.8637
2015/9/16,10.4738,6.4084,,6.1555
2015/9/17,9.7913,6.3968,,6.0096
2015/9/18,9.6727,6.5712,,6.0193
2015/9/21,10.0386,7.0016,,6.0777
2015/9/22,10.1771,6.8387,,6.1263
2015/9/23,9.8408,6.7166,,5.9124
2015/9/24,10.0485,6.7806,,5.9318
2015/9/25,9.6529,6.4607,,6.1263
2015/9/28,9.9397,6.6585,,5.9707
2015/9/29,9.6628,6.3154,,5.8443
2015/9/30,9.6529,6.3212,,5.8443
2015/10/8,10.0683,6.955,,5.9707
2015/10/9,10.3848,7.1237,,5.9707
2015/10/12,11.4232,7.4203,,6.2138
2015/10/13,11.6705,7.6005,,6.1652
2015/10/14,11.5617,7.3563,,6.1555
2015/10/15,12.7189,7.9553,,6.4958
2015/10/16,13.8464,8.0599,,6.6417
2015/10/19,14.4101,8.4903,,6.4764
2015/10/20,14.4595,8.6589,,6.6417
2015/10/21,13.1244,7.7924,,6.7584
2015/10/22,14.42,8.0716,,6.8945
2015/10/23,15.32,8.2867,,6.7681
2015/10/26,15.231,8.4205,,6.6417
2015/10/27,15.0233,8.3972,,6.5833
2015/10/28,14.5288,8.0774,,6.4083
2015/10/29,14.8947,8.1937,,6.4569
2015/10/30,14.3409,8.2984,,6.4277
2015/11/2,13.7079,7.9669,,6.1749
2015/11/3,13.787,8.0948,,6.1555
2015/11/4,15.053,8.9032,,6.4277
2015/11/5,14.4694,8.8392,,6.8751
2015/11/6,14.6969,9.1299,,6.8362
2015/11/9,14.8749,9.4323,,6.8653
2015/11/10,15.4486,9.3218,,6.7681
2015/11/11,16.1607,9.8045,,6.8362
2015/11/12,15.7057,9.5893,,6.6514
2015/11/13,14.9541,9.0136,,6.5055
2015/11/16,15.1024,9.3626,,6.525
2015/11/17,14.5881,9.1183,,6.5055
2015/11/18,14.1628,9.1183,,6.4666
2015/11/19,14.5189,9.2811,,6.6417
2015/11/20,14.9046,9.3044,,6.6319
2015/11/23,16.398,9.3277,,6.4958
