ÈÕÆÚ,600759.SH,600777.SH,601857.SH
2015/4/2,7.591,3.1364,11.0115
2015/4/3,7.591,3.1364,10.9468
2015/4/7,8.3501,3.1364,11.3443
2015/4/8,9.1859,3.1364,11.5662
2015/4/9,10.1061,3.1364,11.4553
2015/4/10,11.1182,3.1364,11.52
2015/4/13,11.1335,3.1364,11.7326
2015/4/14,12.0537,3.1364,11.5662
2015/4/15,11.7546,3.1364,11.5292
2015/4/16,11.9003,3.1364,12.0285
2015/4/17,11.9003,3.1364,12.3706
2015/4/20,11.4326,3.1364,11.8343
2015/4/21,11.839,3.1364,12.01
2015/4/22,12.0076,3.1364,12.2226
2015/4/23,11.931,3.1364,12.3336
2015/4/24,12.4294,3.1364,12.3151
2015/4/27,12.4447,3.1364,13.5448
2015/4/28,12.0076,3.1364,13.2489
2015/4/29,12.0767,3.1364,12.6757
2015/4/30,12.0153,3.1364,12.3798
2015/5/4,12.115,3.1364,12.4815
2015/5/5,12.1457,3.1364,12.0285
2015/5/6,12.8358,3.1364,11.6587
2015/5/7,12.7361,3.1364,11.2519
2015/5/8,12.7131,3.1364,11.4738
2015/5/11,13.0121,3.1364,11.7049
2015/5/12,13.2958,3.1364,11.7326
2015/5/13,14.3156,3.1364,11.4922
2015/5/14,14.0396,3.1364,11.5292
2015/5/15,13.3878,3.1364,11.1964
2015/5/18,13.0965,3.1364,10.9005
2015/5/19,13.2191,3.1364,11.2704
2015/5/20,13.1348,3.1364,11.2519
2015/5/21,13.3265,3.1364,11.2981
2015/5/22,13.6869,3.1364,11.6864
2015/5/25,14.2006,3.1364,12.0008
2015/5/26,14.469,3.1364,12.0655
2015/5/27,14.8294,3.1364,12.3428
2015/5/28,13.3495,3.1364,11.2796
2015/5/29,12.8434,3.1364,11.0207
2015/6/1,13.7712,3.1364,11.4645
2015/6/2,13.9782,3.1364,11.4368
2015/6/3,14.3923,3.1364,11.4183
2015/6/4,14.0089,3.1364,11.6587
2015/6/5,14.2926,3.1364,11.8528
2015/6/8,15.3431,3.1364,12.3243
2015/6/9,16.1022,3.1364,12.1857
2015/6/10,15.9182,3.1364,12.0008
2015/6/11,15.9028,3.1364,11.936
2015/6/12,15.6728,3.4496,11.9823
2015/6/15,15.7955,3.7943,11.6494
2015/6/16,15.7955,4.1732,11.1779
2015/6/17,15.4351,4.5915,11.3536
2015/6/18,15.1054,5.052,10.9098
2015/6/19,14.0319,5.0651,10.3273
2015/6/23,13.8479,5.052,10.6232
2015/6/24,14.0933,4.9546,10.9283
2015/6/25,13.3418,4.5547,10.466
2015/6/26,12.0076,4.0995,9.7356
2015/6/29,10.8038,3.7285,10.1239
2015/6/30,11.7163,4.1021,10.4752
2015/7/1,11.3482,4.26,9.9297
2015/7/2,10.2134,3.8337,10.7988
2015/7/3,9.1936,3.4496,10.9375
2015/7/6,9.2634,3.1049,12.0285
2015/7/7,9.2634,3.1049,12.537
2015/7/8,9.2634,3.1049,11.3998
2015/7/9,9.2634,3.1049,11.9963
2015/7/10,9.2634,3.1049,12.2014
2015/7/13,10.1907,3.1049,11.6794
2015/7/14,11.2078,3.1049,11.4557
2015/7/15,10.091,3.1049,12.6022
2015/7/16,10.1808,3.1049,12.4904
2015/7/17,10.6993,3.1049,12.276
2015/7/20,10.6494,3.1049,12.798
2015/7/21,10.6295,3.1049,12.5649
2015/7/22,10.8588,3.1049,12.7048
2015/7/23,11.158,3.1049,12.7327
2015/7/24,11.3175,3.1049,12.7514
2015/7/27,10.1907,3.1049,11.5303
2015/7/28,9.7819,3.1049,11.0456
2015/7/29,10.3004,3.1049,10.8592
2015/7/30,10.1907,3.1049,10.9151
2015/7/31,10.2206,3.1049,10.3372
2015/8/3,10.1608,3.1049,9.8525
2015/8/4,10.5597,3.1049,10.0855
2015/8/5,10.2406,3.1049,9.9084
2015/8/6,9.9714,3.1049,9.7686
2015/8/7,10.2107,3.1049,9.9457
2015/8/10,10.6195,3.1049,10.3185
2015/8/11,10.9087,3.1049,10.3931
2015/8/12,10.5696,3.1049,10.244
2015/8/13,10.7392,3.1049,10.2626
2015/8/14,11.0383,3.1049,10.2346
2015/8/17,11.1679,3.1049,10.0762
2015/8/18,10.0511,3.1049,10.3745
2015/8/19,10.1608,3.1049,10.0575
2015/8/20,9.9016,3.1049,9.6194
2015/8/21,9.2335,3.1049,9.3212
2015/8/24,8.3061,3.1049,8.8644
2015/8/25,7.4785,3.1049,7.9789
2015/8/26,6.8304,3.1049,7.9976
2015/8/27,7.2492,3.1049,8.184
2015/8/28,7.9771,3.1049,8.5195
2015/8/31,7.997,3.1049,8.3331
2015/9/1,7.5683,3.1049,8.5848
2015/9/2,7.0597,3.1049,8.156
2015/9/7,6.98,3.1049,8.0442
2015/9/8,7.2891,3.1049,8.1094
2015/9/9,7.7477,3.1049,8.3984
2015/9/10,7.4386,3.1049,8.2399
2015/9/11,7.5683,3.1049,8.2119
2015/9/14,6.8104,3.1049,7.923
2015/9/15,6.1424,3.1049,7.9044
2015/9/16,6.7606,3.1049,8.1653
2015/9/17,7.4087,3.1049,7.9882
2015/9/18,7.8275,3.1049,7.9038
2015/9/21,7.8275,3.1049,7.9507
2015/9/22,7.8275,3.1049,8.0258
2015/9/23,7.8275,3.1049,7.8474
2015/9/24,7.8275,3.1049,7.885
2015/9/25,7.8275,3.1049,8.007
2015/9/28,7.8275,3.1049,7.9131
2015/9/29,7.8275,3.1049,7.7536
2015/9/30,7.8275,3.1049,7.7254
2015/10/8,7.8275,3.1049,7.9225
2015/10/9,7.8275,3.1049,7.9976
2015/10/12,7.8275,3.1049,8.2323
2015/10/13,7.8275,3.1049,8.1478
2015/10/14,7.8275,3.1049,8.1948
2015/10/15,7.8275,3.1049,8.2792
2015/10/16,7.8275,3.1049,8.4013
2015/10/19,7.8275,3.1049,8.3543
2015/10/20,7.8275,3.1049,8.42
2015/10/21,7.8275,3.1049,8.3731
2015/10/22,7.8275,3.1049,8.2792
2015/10/23,7.8275,3.1049,8.2886
2015/10/26,7.8275,3.1049,8.3449
2015/10/27,7.8275,3.1049,8.2698
2015/10/28,7.8275,3.1049,8.2511
2015/10/29,7.8275,3.1049,8.2792
2015/10/30,7.8275,3.1049,8.2135
2015/11/2,7.8275,3.1049,8.007
2015/11/3,7.8275,3.1049,7.9507
2015/11/4,7.8275,3.1049,8.2041
2015/11/5,7.8275,3.1049,8.4294
2015/11/6,7.8275,3.1049,8.5421
2015/11/9,7.8275,3.1049,8.6735
2015/11/10,7.8275,3.1049,8.6923
2015/11/11,7.8275,3.1049,8.6359
2015/11/12,7.8275,3.1049,8.5515
2015/11/13,7.8275,3.1049,8.3919
2015/11/16,7.8275,3.1049,8.4294
2015/11/17,7.8275,3.1049,8.4857
2015/11/18,7.8275,3.1049,8.4951
2015/11/19,7.8275,3.1049,8.4857
2015/11/20,7.8275,3.1049,8.4388
2015/11/23,7.8275,3.1049,8.3731
2015/11/24,7.8275,3.1049,8.3637
2015/11/25,7.8275,3.1049,8.4294
2015/11/26,7.8275,3.1049,8.42
2015/11/27,7.8275,3.1049,7.9413
2015/11/30,7.8275,3.1049,7.885
2015/12/1,7.8275,3.1049,7.8944
2015/12/2,7.8275,3.1049,8.1103
2015/12/3,7.8275,3.1049,8.2792
2015/12/4,7.8275,3.1049,8.054
2015/12/7,7.8275,3.1049,8.0258
2015/12/8,7.8275,3.1049,7.8662
2015/12/9,7.8275,3.1049,7.8381
2015/12/10,7.8275,3.1049,7.8193
2015/12/11,7.8275,3.1049,7.7911
2015/12/14,7.8275,3.1049,7.9131
2015/12/15,7.8275,3.1049,7.8568
2015/12/16,7.8275,3.1049,7.9413
2015/12/17,7.8275,3.4154,7.9601
2015/12/18,7.8275,3.7574,7.9601
2015/12/21,7.8275,4.1337,8.007
2015/12/22,7.8275,4.5468,7.9976
2015/12/23,7.8275,4.4994,8.0164
2015/12/24,7.8275,4.5336,7.9601
2015/12/25,7.8275,4.4494,7.9601
2015/12/28,7.8275,4.5126,7.8568
2015/12/29,7.8275,4.6731,7.9038
2015/12/30,7.8275,4.5336,7.8944
2015/12/31,7.8275,4.481,7.8381
2016/1/4,7.8275,4.0732,7.6315
2016/1/5,7.8275,4.11,7.5752
2016/1/6,7.8275,4.21,7.8005
2016/1/7,7.8275,3.789,7.3499
2016/1/8,7.8275,4.06,7.5001
2016/1/11,7.8275,3.889,7.2279
2016/1/12,7.8275,3.9258,7.2842
2016/1/13,7.8275,3.5338,7.1434
2016/1/14,7.8275,3.2654,7.1622
2016/1/15,7.8275,2.9391,6.89
2016/1/18,7.8275,2.9391,6.8243
2016/1/19,7.8275,3.2338,6.9651
2016/1/20,7.8275,3.5574,7.0026
2016/1/21,7.8275,3.3785,6.8149
2016/1/22,7.8275,3.2996,6.8806
2016/1/25,7.8275,3.4943,6.9745
2016/1/26,7.8275,3.1443,6.6459
2016/1/27,7.8275,3.1049,6.8337
2016/1/28,7.8275,3.0101,6.9838
2016/1/29,7.8275,3.1207,7.0026
2016/2/1,7.8275,3.1154,6.8055
2016/2/2,7.8275,3.1733,6.8712
2016/2/3,7.8275,3.1128,6.7773
2016/2/4,7.8275,3.1759,6.8149
2016/2/5,7.8275,3.1759,6.7867
2016/2/15,7.8275,3.1075,6.7398
2016/2/16,7.8275,3.2285,6.8994
2016/2/17,7.8275,3.2338,7.0589
2016/2/18,7.8275,3.2891,6.9745
2016/2/19,7.8275,3.3917,6.9651
2016/2/22,7.8275,3.4469,7.0683
2016/2/23,7.8275,3.4811,7.0214
2016/2/24,7.8275,3.4443,7.0683
2016/2/25,7.8275,3.2391,6.6459
2016/2/26,7.8275,3.2049,6.8149
2016/2/29,7.8275,3.0075,6.8337
2016/3/1,7.8275,3.1259,6.8712
2016/3/2,7.8275,3.2864,7.0777
2016/3/3,7.8275,3.3496,7.1153
2016/3/4,7.8275,3.4127,7.3405
2016/3/7,7.8275,3.4838,7.303
2016/3/8,7.8275,3.7443,7.3405
2016/3/9,7.8275,3.6364,7.3218
2016/3/10,7.8275,3.4575,7.2185
2016/3/11,7.8275,3.5259,7.2185
2016/3/14,7.8275,3.6574,7.2748
2016/3/15,7.8275,3.6232,7.3124
2016/3/16,7.8275,3.5153,7.4063
2016/3/17,7.8275,3.6627,7.3969
2016/3/18,7.8275,3.9074,7.3969
2016/3/21,7.8275,3.9548,7.3687
2016/3/22,7.8275,4.0784,7.3124
2016/3/23,7.8275,4.1784,7.303
2016/3/24,7.8275,3.9548,7.1622
2016/3/25,7.8275,4.1547,7.1622
2016/3/28,7.8275,4.1021,7.1246
2016/3/29,7.8275,3.9679,7.0214
2016/3/30,7.8275,4.0547,7.1997
2016/3/31,7.8275,4.0968,7.1434
2016/4/1,7.8275,4.0232,7.1904
2016/4/5,8.6153,4.1074,7.1904
2016/4/6,8.7349,4.2389,7.2279
2016/4/7,9.4429,4.2126,7.1434
2016/4/8,8.8945,4.21,7.0589
2016/4/11,8.8945,4.4257,7.1716
2016/4/12,8.7848,4.4126,7.181
2016/4/13,9.1138,4.4468,7.3124
2016/4/14,9.1737,4.5494,7.2936
2016/4/15,9.1338,4.0942,7.2748
2016/4/18,8.715,4.0811,7.1246
2016/4/19,8.7249,4.0574,7.181
