ÈÕÆÚ,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH
2014/10/9,3.7626,12.0755,18.9496,,23.4796,17.2524,14.7499
2014/10/10,3.9202,12.0159,18.7144,,23.2123,17.1113,14.5808
2014/10/13,3.9892,12.5029,18.4883,,22.7351,16.7937,14.2802
2014/10/14,3.9301,12.5426,18.4295,,22.8019,16.6438,14.2802
2014/10/15,3.9104,12.8011,18.7008,,23.1837,16.9702,14.5056
2014/10/16,3.7823,12.7812,18.6013,,23.5082,16.8908,14.4587
2014/10/17,3.6444,13.4173,18.6149,,23.7468,16.9525,14.3553
2014/10/20,3.7232,13.7452,18.6647,,23.8327,16.9349,14.3647
2014/10/21,4.0384,13.2185,18.5245,,23.575,16.7408,14.2614
2014/10/22,4.0384,13.3377,18.7325,,24.854,16.9172,14.3459
2014/10/23,4.0384,13.3676,18.6059,,25.2549,16.8555,14.205
2014/10/24,4.0384,12.6122,18.5742,,25.0735,16.8819,14.3553
2014/10/27,4.0384,12.4333,18.14,,24.6249,16.5203,13.9419
2014/10/28,4.0384,12.8806,18.4114,,25.5698,16.9437,14.1298
2014/10/29,4.0384,13.3477,19.0174,,26.2284,17.1907,14.4962
2014/10/30,4.0384,13.5365,19.0129,,26.4002,17.0495,14.4962
2014/10/31,4.0384,14.103,19.4471,,28.1087,17.614,15.1821
2014/11/3,4.0384,14.1328,19.3928,,27.536,17.3582,14.9848
2014/11/4,4.0384,13.785,19.239,,27.2974,17.3141,14.8814
2014/11/5,4.0384,13.8645,19.2255,,28.0705,17.4376,14.9284
2014/11/6,4.0384,13.944,19.0581,,27.0492,17.3318,14.8251
2014/11/7,4.0384,13.9043,19.0581,,27.5742,17.7199,14.9284
2014/11/10,4.0384,13.9142,19.4154,,28.0323,17.9668,15.5297
2014/11/11,4.0384,13.1887,19.4697,,27.6887,18.205,15.6142
2014/11/12,4.0384,13.3377,19.8134,,27.5074,18.3461,15.7645
2014/11/13,4.0384,13.785,20.035,,28.5955,18.646,15.9806
2014/11/14,4.0384,13.4471,20.139,,28.0514,18.8136,15.9524
2014/11/17,4.0384,13.2781,19.6461,,27.3069,18.1256,15.5203
2014/11/18,4.0384,13.3179,19.2571,,27.0206,17.6052,15.2572
2014/11/19,4.0384,13.3576,19.2526,,27.0779,17.6052,15.1821
2014/11/20,4.0384,13.5663,19.4064,,28.395,18.055,15.6612
2014/11/21,4.0384,13.9937,19.8903,,30.2276,18.6019,16.1779
2014/11/24,4.0384,14.5801,20.736,,32.8428,19.9073,17.4838
2014/11/25,4.0384,14.7093,20.745,,33.4345,19.7662,17.7563
2014/11/26,4.0384,15.405,21.6541,,36.7751,21.1333,19.5037
2014/11/27,4.0384,16.9455,22.0883,,40.4498,21.6802,20.6499
2014/11/28,4.0384,18.645,22.4455,,39.9821,21.2744,21.2323
2014/12/1,4.0384,17.7008,22.9521,,39.0467,20.8952,20.4714
2014/12/2,4.0384,19.4699,24.5531,,41.0415,21.9536,22.1436
2014/12/3,4.0384,19.1618,24.8787,,38.5981,21.3803,21.7491
2014/12/4,4.0384,20.6924,27.1309,,41.9578,23.5148,23.8629
2014/12/5,4.0384,19.2314,26.742,,40.4689,23.5324,24.2575
2014/12/8,4.0384,19.1121,29.3198,,41.9769,24.8555,25.6291
2014/12/9,4.0384,17.2039,26.8279,,37.7773,22.3681,23.0643
2014/12/10,4.0384,17.4325,26.9726,,36.8419,22.3858,22.6885
2014/12/11,4.0384,17.1145,25.6973,,35.6202,21.3715,21.4108
2014/12/12,4.0384,17.8201,25.8103,,36.3265,21.6449,21.7679
2014/12/15,4.0384,18.2673,26.2264,,36.6224,21.9448,21.9276
2014/12/16,4.0384,19.3507,28.5374,,40.2875,23.3295,23.5717
2014/12/17,4.0384,18.7046,28.8178,,41.0225,23.5236,23.8629
2014/12/18,4.0384,18.2276,29.7314,,41.6142,23.6383,24.0038
2014/12/19,4.0384,17.4226,29.3741,,40.4116,23.4883,23.5059
2014/12/22,4.0384,16.6772,29.7812,,40.1825,23.8323,24.0132
2014/12/23,4.0384,17.1741,29.5641,,41.0511,24.1851,25.2158
2014/12/24,4.0384,16.8958,27.4565,,38.2164,22.6327,23.8065
2014/12/25,4.0384,17.5021,28.6776,,40.6598,24.4056,26.1834
2014/12/26,4.0384,18.4661,30.6676,,44.7257,26.3902,28.8046
2014/12/29,4.0384,19.6488,32.1012,,47.6273,28.1542,31.6888
2014/12/30,4.0384,19.6488,32.9153,,47.236,28.1983,31.9707
2014/12/31,4.0384,19.6488,33.7882,,47.3028,28.4894,32.0834
2015/1/5,4.0384,19.6488,34.4439,,47.3505,29.3538,32.027
2015/1/6,4.0384,19.6488,33.3449,,45.0407,27.6603,30.4393
2015/1/7,4.0384,19.6488,33.2002,,45.4989,27.5456,31.0594
2015/1/8,4.0384,19.6488,32.1465,,43.275,26.4872,30.0447
2015/1/9,4.0384,19.6488,32.9424,,44.678,27.2722,31.8297
2015/1/12,4.0384,19.6488,33.9962,,44.6494,27.4574,32.7128
2015/1/13,4.0384,19.6488,33.9736,,43.4277,27.2105,32.027
2015/1/14,4.0384,19.6488,33.3992,,43.2559,27.3428,30.9372
2015/1/15,4.0384,19.6488,35.6695,,47.5796,29.5919,33.9999
2015/1/16,4.4423,19.6488,35.4072,,50.2425,29.7507,34.573
2015/1/19,4.8855,19.6488,31.8661,,50.2425,26.7783,31.1157
2015/1/20,5.378,19.6488,31.9384,,50.2425,26.5754,32.3183
2015/1/21,5.9197,19.6488,34.9866,,50.2425,29.2303,35.5501
2015/1/22,6.5107,21.6167,34.1319,,50.2425,29.5302,36.856
2015/1/23,7.1608,23.7833,34.7334,,50.2425,32.1586,37.8049
2015/1/26,7.8798,26.1587,34.1952,,50.2425,32.5996,37.213
2015/1/27,8.6678,25.3835,33.449,,50.2425,32.0439,38.1713
2015/1/28,9.5346,24.6877,32.6937,,50.2425,30.6504,36.5459
2015/1/29,9.0323,24.5685,31.9068,,50.2425,31.0208,35.7004
2015/1/30,8.1359,23.1373,31.3369,,50.2425,29.4684,33.8966
2015/2/2,8.2147,23.4653,29.9485,,50.2425,28.163,31.6418
2015/2/3,8.4216,24.5287,31.2374,,50.2425,29.98,34.4979
2015/2/4,8.1162,23.505,30.5274,,50.2425,28.8775,33.906
2015/2/5,7.8404,22.3522,29.8219,,50.2425,28.1101,33.1074
2015/2/6,7.8995,22.3522,29.9892,,50.2425,27.4839,32.7128
2015/2/9,7.9586,22.3522,30.7535,,50.2425,28.2953,34.6482
2015/2/10,7.6828,22.3522,30.9751,,50.2425,28.9039,35.0428
2015/2/11,7.9882,20.1159,31.7259,,50.2425,29.5743,36.0198
2015/2/12,7.998,20.7421,31.6128,,50.2425,29.6537,36.4144
2015/2/13,8.2935,20.752,31.6218,,50.2425,29.345,35.8225
2015/2/16,8.264,20.6526,31.7982,,50.2425,29.4155,35.644
2015/2/17,8.0768,21.4577,31.9203,,50.2425,30.7033,36.0386
2015/2/25,8.1162,20.9806,30.8259,,50.2425,29.3802,34.4321
2015/2/26,8.1458,21.4378,31.5992,,50.2425,30.765,35.5877
2015/2/27,8.3329,21.239,31.7847,,50.2425,30.3505,35.1931
2015/3/2,8.9338,21.9148,31.6128,,48.9349,30.1564,34.9864
2015/3/3,8.9535,21.3682,30.3555,,47.9327,28.4982,33.455
2015/3/4,8.8648,21.7558,30.2741,,47.2837,28.7716,33.4926
2015/3/5,9.1603,21.4775,29.4691,,47.7227,28.216,32.9853
2015/3/6,8.6481,20.9905,29.3877,,45.0312,27.8279,32.8068
2015/3/9,8.7959,21.1595,29.9937,,46.1861,28.3835,33.7745
2015/3/10,8.7171,21.1496,29.7133,,44.8498,27.7044,33.0135
2015/3/11,9.0224,21.4577,29.9485,,46.2147,27.9866,33.3893
2015/3/12,9.0815,23.3361,31.1153,,50.5193,29.0186,34.8737
2015/3/13,9.0717,23.674,31.1786,,49.5362,28.8863,34.4509
2015/3/16,9.4755,25.0157,33.2274,,53.5449,29.883,35.4843
2015/3/17,9.8498,24.6381,33.7836,,53.2586,29.8389,35.2401
2015/3/18,10.8348,24.807,35.0138,,54.2226,30.3416,35.691
2015/3/19,11.1007,23.9523,34.2495,,52.1037,29.4067,34.6952
2015/3/20,11.2288,24.489,35.4615,,52.3041,29.9006,35.4467
2015/3/23,11.1303,24.6381,35.2535,,52.6191,30.077,36.1232
