ÈÕÆÚ,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH
2014/2/20,-0.627,-2.0158,-2.1763,-3.2585,-0.6637,-2.5257,-1.2097,-2.1333,0.6726,2.1544,0.8612,0.5019,2.3337,6.1179,0.148,1.5428,2.6863,2.194,3.5438,3.0897,2025333028,9286835477,2137899314,874594063.2,,3659759988,1414261140,3134547000,2284679199,4096895603,37.2945,99.8346,38.4556,33.9921,21.7901,64.9327,24.0706,20.3247,-58.4885,36.1597,2.4201,4.0094,1.609,2.1202,1.7415,2.3731,2.9123,4.079,10.6581,1.4243,6.8394,3.6928,3.5616,1.4325,1.6994,1.6568,3.0431,5.0235,194.5903,4.288
2014/2/21,0.6309,-0.8817,1.2236,-0.8648,0,-2.5912,5.2245,-1.2262,-1.7817,1.2302,0.6732,0.3083,1.5032,3.7812,0.1066,1.9864,6.0626,1.6376,1.4168,3.78,2038111154,9204953018,2164058260,867030436.8,,3564929355,1488149069,3096112500,2243972220,4147296780,37.5298,98.9543,38.9261,33.6981,21.8009,63.2502,25.3282,20.0754,-57.4463,36.6045,2.4353,3.974,1.6287,2.1019,1.7423,2.3116,3.0645,4.029,10.4682,1.4418,6.8825,3.6602,3.6052,1.4201,1.7002,1.6139,3.2021,4.9619,191.1232,4.3408
2014/2/24,-1.5674,-2.4463,0,0.7805,-1.3363,3.3498,-1.8619,1.5172,-4.0816,0.5208,0.7103,0.3959,,3.4259,0.2141,2.542,3.8939,1.9979,1.6893,3.4233,2006165839,8979776258,2164058260,873797892,,3684345708,1460441096,3143088000,2152381517,4168897284,36.9416,96.5336,38.9261,33.9611,21.5134,65.3689,24.8566,20.38,-55.1016,36.7952,2.3972,3.8768,1.6287,2.1183,1.7193,2.3891,3.0074,4.0901,10.0409,1.4493,6.7746,3.5707,3.6052,1.4312,1.6778,1.6679,3.1425,5.0372,183.3222,4.3634
2014/2/25,-4.4586,-3.2675,0,-4.8747,-3.1603,-8.4843,-6.4032,-4.3478,-4.0189,-4.1451,0.8689,0.5468,,5.9315,0.3179,3.3767,3.5398,2.4973,1.6435,3.0543,1916718954,8686364116,2164058260,831202732.8,,3371755843,1366926686,3006432000,2065879186,3996093251,35.2945,93.3794,38.9261,32.3056,20.8253,59.8228,23.265,19.4939,-52.8871,35.27,2.2903,3.7502,1.6287,2.015,1.6644,2.1864,2.8149,3.9123,9.6374,1.3893,6.4726,3.454,3.6052,1.3614,1.6241,1.5264,2.9412,4.8182,175.9547,4.1825
2014/2/26,0,-1.2569,0,1.772,-0.9324,-3.5417,-0.0845,-0.7102,0,7.027,0.7815,0.516,,3.0556,0.2491,2.4627,2.4478,1.3892,1.5714,4.7492,1916718954,8577187505,2164058260,845931900,,3252339490,1365772187,2985079500,2065879186,4276899804,35.2945,92.2058,38.9261,32.8781,20.6275,57.7041,23.2453,19.3555,-52.8871,37.7484,2.2903,3.703,1.6287,2.0507,1.6485,2.109,2.8125,3.8845,9.6374,1.4869,6.4726,3.4106,3.6052,1.3856,1.6087,1.4723,2.9388,4.784,175.9547,4.4764
2014/2/27,-1.3333,-0.2387,-5.3846,-3.2471,0,-2.6998,-2.3669,0,-1.7241,-3.0303,0.5117,0.3683,2.4791,3.4702,0.2028,1.6634,1.5188,1.629,1.1945,4.4873,1891162701,8556716890,2047532046,818463993.6,,3164533349,1333446218,2985079500,2030260580,4147296780,34.8239,91.9857,36.8301,31.8105,20.6377,56.1462,22.6952,19.3555,-51.9753,36.6045,2.2597,3.6942,1.541,1.9842,1.6494,2.052,2.7459,3.8845,9.4712,1.4418,6.3863,3.4025,3.4111,1.3406,1.6095,1.4326,2.8692,4.784,172.921,4.3408
2014/2/28,1.1824,1.3557,0.1161,-0.0486,0.2353,3.7736,1.645,0.4292,0,-1.3889,0.4624,0.331,1.0514,2.5623,0.1219,1.1176,1.124,1.3345,1.1019,2.1642,1913524422,8672717039,2049910132,818065908,,3283949701,1355381697,2997891000,2030260580,4089695435,35.2357,93.2327,36.8729,31.795,20.6839,58.265,23.0685,19.4386,-51.9753,36.0961,2.2865,3.7443,1.5428,1.9832,1.6531,2.1295,2.7911,3.9011,9.4712,1.4218,6.4618,3.4486,3.415,1.3399,1.6131,1.4867,2.9164,4.8045,172.921,4.2805
2014/3/3,2.0033,1.4949,0.9281,2.1411,0.7042,1.6043,5.3663,2.1368,1.5038,1.4085,0.59,0.3465,1.0409,2.4519,0.2754,1.0877,3.5432,1.5174,0.826,1.7817,1951858801,8802364265,2068934820,835581674.4,,3336633387,1428115127,3061948500,2060790814,4147296780,35.9415,94.6264,37.2151,32.4758,20.8184,59.1997,24.3064,19.8539,-52.7569,36.6045,2.3323,3.8002,1.5571,2.0257,1.6638,2.1636,2.9409,3.9845,9.6136,1.4418,6.5912,3.5001,3.4467,1.3686,1.6236,1.5105,3.0729,4.9072,175.5213,4.3408
2014/3/4,0.3273,-0.3876,-0.6897,0.1429,3.9627,-0.4211,-1.7785,-0.5579,1.7284,-2.6042,0.4238,0.2226,1.2247,2.4108,0.4096,1.2315,2.8515,1.3753,0.9865,1.4605,1958247865,8768246574,2054666304,836775931.2,,3322584404,1402716151,3044866500,2096409421,4039294259,36.0592,94.2597,36.9584,32.5222,21.6629,58.9504,23.8741,19.7432,-53.6687,35.6513,2.3399,3.7855,1.5464,2.0286,1.7313,2.1545,2.8886,3.9623,9.7798,1.4043,6.6128,3.4866,3.423,1.3706,1.6895,1.5041,3.0183,4.8798,178.555,4.2277
2014/3/5,0.9788,0.856,0.5787,-0.6185,1.7937,-0.5285,0.823,0.1403,0.4854,-1.7825,0.5858,0.3451,1.1448,2.4885,0.4979,0.9675,1.9252,1.8649,1.155,1.7079,1977415054,8843305494,2066556734,831600818.4,,3305023175,1414261140,3049137000,2106586165,3967292579,36.4121,95.0666,37.1723,32.3211,22.0576,58.6388,24.0706,19.7709,-53.9292,35.0158,2.3628,3.8179,1.5553,2.016,1.7628,2.1431,2.9123,3.9678,9.8273,1.3793,6.6775,3.5164,3.4428,1.3621,1.7202,1.4962,3.0431,4.8867,179.4218,4.1524
