ÈÕÆÚ,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH
2017/6/1,9.7926,3.8857,4.69,4.5489,6.092,3.685,3.5973,2.7849,6.63,16.0401,6.8351,7.6482,8.5982,5.4394,24.0626,2.5601,2.1366,5.3897,1.9784,4.72,4.7905,2.5603,2.8378,2.68,5.63,5.3544,2.5565,3.9731,3.027,2.7321,3.563,2.16,14.5335
2017/6/2,9.9095,3.9408,4.64,4.588,6.2294,3.7224,3.6322,2.7777,6.75,16.0401,6.8672,7.8089,9.0181,5.5353,23.4604,2.5601,2.1267,5.4324,1.9861,4.76,4.955,2.5957,2.9021,2.71,5.75,5.4309,2.5952,3.9681,3.0553,2.8097,3.6307,2.05,14.9149
2017/6/5,10.0444,3.95,4.66,4.588,6.2569,3.7317,3.6183,2.7634,6.73,16.0401,6.9047,7.894,9.3712,5.6312,23.9547,2.5506,2.1366,5.3727,2.0092,4.77,4.9101,2.5957,2.8929,2.72,5.81,5.3621,2.6049,3.9731,3.0459,2.7752,3.6054,1.95,14.9885
2017/6/6,10.0624,3.9408,4.64,4.6465,6.2019,3.7783,3.6671,2.7777,6.71,16.0401,6.9154,7.9223,9.0181,5.5641,24.7188,2.541,2.1466,5.4324,2.0246,4.82,4.9624,2.6134,2.9297,2.73,5.82,5.538,2.6049,3.9731,3.0553,2.7924,3.6138,1.85,14.9885
2017/6/7,10.1703,4.0511,4.72,4.7051,6.4768,3.8343,3.6951,2.8134,6.81,16.0401,7.0279,8.0169,9.3617,5.7176,25.0244,2.5981,2.1764,5.4922,2.04,4.89,5.082,2.6577,2.9664,2.77,6.01,5.6068,2.6436,4.0732,3.1213,2.8528,3.7069,1.82,15.3699
2017/6/8,10.1433,4.0235,4.67,4.6953,6.4768,3.8157,3.6811,2.8206,6.82,16.0401,6.9154,7.894,9.3807,5.6312,24.9615,2.5981,2.1764,5.5435,2.05,4.88,5.0297,2.6577,2.994,2.76,5.99,5.5686,2.6339,4.1783,3.1213,2.8528,3.7746,1.84,15.236
2017/6/9,10.0714,4.0051,4.64,4.6661,6.4859,3.825,3.6602,2.8063,6.85,16.0401,6.8565,7.8656,9.1326,5.5737,25.0424,2.5981,2.1565,5.5435,2.04,4.84,5.0521,2.6488,2.9572,2.75,5.98,5.5839,2.6339,4.1182,3.1024,2.8355,3.69,1.84,15.1089
2017/6/12,10.0444,3.9408,4.51,4.5587,6.6325,3.769,3.5903,2.7634,6.68,16.0401,6.744,7.6765,8.7509,5.6025,25.0514,2.5981,2.1366,5.5179,2.01,4.75,4.9774,2.5957,2.8838,2.7,5.89,5.4845,2.5855,3.9331,3.0459,2.7924,3.6223,1.77,14.5602
2017/6/13,10.0354,3.9684,4.54,4.6563,6.6783,3.8157,3.6602,2.7849,6.66,16.0401,6.819,7.8183,8.8654,5.6504,25.2132,2.6172,2.1665,5.6204,2.04,4.82,5.0222,2.6311,2.9389,2.74,5.95,5.5839,2.6146,4.0231,3.093,2.87,3.6985,1.79,14.9216
2017/6/14,10.1883,3.95,4.58,4.6953,6.4951,3.853,3.6602,2.7777,6.54,16.0401,6.819,7.8656,9.4857,5.6408,25.1592,2.6267,2.1565,5.5762,2.04,4.9,5.0446,2.6311,2.9389,2.76,6.18,5.576,2.6242,4.0582,3.1119,2.8442,3.7154,1.8,15.1424
