,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31
SW中药,-0.03421440695399691,0.27949587843490387,0.19541507927417567,0.7517144496984236,0.8630261589991691,0.6294098101270352,0.366831879152593,0.36689041805516287,0.49759719649090384,0.5100691502180371,0.565139910274669,0.5811352201717409,0.4134506586934519,0.6718749981827998,0.9152751256807322,1.1721013254962644,1.068346757342891,0.749583411503197,0.6784488344148967,0.922716483765768,0.5446897153669699,0.5091377035603856
SW化学制药,0.2242355622950133,0.4690808203060758,0.3736443029933003,0.6956913283327577,1.489171550568729,1.743039355613473,1.6603981984525442,1.8636899052048843,2.1582432391954303,2.06623719426069,2.0855074743926685,2.1434470693607794,1.9425472200502072,2.1994737454436404,2.072913947597972,2.1252884102036136,2.086036641210603,1.8753626852468748,1.5251854221220913,1.7175485986652803,1.6595791761804957,1.771486803110277
SW医疗器械,-0.11460400945210204,0.10257695193577733,0.6496786083648532,1.2020872933781221,1.4171263898680808,1.491849720049717,1.038982774220961,0.7774673623782331,0.7835767887226073,0.7607277830930855,0.45462353815997203,0.7174500534933372,0.5781533727651627,1.2824818012582617,1.1485611338325632,1.4157491019889334,0.9151647301018305,0.6130964269218414,0.4697133334406398,0.6055262216968367,0.5282611694844401,0.3743892919966291
SW医疗服务,0.10100220253559751,0.29658069084869443,0.564443299526407,1.24892009098282,1.4970234303568264,1.7197475580419739,1.368858304139218,1.6013965627610909,1.7846862189324595,1.8960767924408641,1.97083562940769,1.7421590984572812,1.611275470726852,1.6088641445062233,1.6518246275935713,1.8528559373883184,1.756750940246293,1.5357040441483092,1.4096941922130082,2.05333021099279,2.1943772876438508,2.2830505037899185
SW医药商业,0.11656408156679986,0.351134340285113,0.4896468363221219,0.7915528043005324,1.0436443223232896,0.9796463031386579,0.8474900096740927,0.9852981434405824,1.051099784097385,1.147533430208608,0.9623991634305701,0.9453276235692192,0.8697850561342738,1.027267272367702,0.8921662899594565,1.2470178743338167,1.0661410027754616,0.9028154210816893,0.7527974320692218,1.0033532298301822,0.990685474099617,1.148640062782597
SW生物制品,-0.05211297678979795,0.16613224664967235,0.21229895955981468,0.6285863297211357,0.45440908812969427,0.6364061445396859,0.5226933123100836,0.4473411909499693,0.4033445501210571,0.4115834609957377,0.2487326327328562,0.1101392734865129,0.19778310459948012,0.1666485547300913,-0.037506781169111825,0.09350880108499818,-0.30665001735822617,-0.45818921444199834,-1.0439950998548233,-0.7644293955721528,-0.6985774220980082,-0.49720838409474066
SW一般零售,-0.05170075425451388,0.14802039715546259,0.058612752399742465,0.3699379896894386,0.22704395722355117,0.5883398978493708,0.33496097812784137,0.3023670196945681,0.3644510839817447,0.4542772166037548,0.34171484020300225,0.14521392190707014,0.07871097201394021,0.13036026977848722,0.14215673498274362,-0.09408682584983985,-0.20606032979661926,-0.4408126999971774,-0.5339549186477751,-0.3532502780939766,-0.5041653702419437,-0.5537681880980823
SW专业零售,0.11908186926121907,0.36318634945822337,0.5154994462136246,0.8355015014516927,0.8819589610565202,1.0547292744905583,1.1348894312078672,1.3123568799533645,1.2179683364232172,1.3664226655706229,1.355272767315689,1.2489586288335306,1.2761476823905076,1.3673815475945246,1.2100841905511535,1.1563670873970726,1.0699562604984165,0.7559492158077321,0.8336728802631277,1.0650009571362813,0.9238197871359828,1.0976634914850751
SW商业物业经营,0.019832387782155198,-0.022654195911384855,0.03272000752088747,0.46238616734584603,0.5361944249751573,0.35724456526790727,0.09268605069359759,0.021535399178234618,0.04579249728705449,0.33658375844217003,0.33582322982134055,0.1569079802293318,0.10454824498023718,0.06245755501077221,-0.12510894497829464,-0.33430626242547845,-0.4162866965047992,-0.7712979605083726,-0.9734352235569296,-0.7344333322945724,-0.8898906094119169,-0.7387397044716624
SW贸易,0.02504529077646389,0.11734512552728649,0.18191479402185579,0.7715088659830518,0.7641413474191674,1.0030751754659313,0.5447897863463236,0.625966566141792,0.6591395129986325,0.8030764565881345,0.6094786547450797,0.3553180885923772,0.5115519959859474,0.48748471856704295,0.3966755203944426,0.23566484743740437,0.17917376516798442,-0.031952775978418724,-0.10535337769502684,0.08545510157748049,0.038243566038952896,-0.08488030690654633
