ÈÕÆÚ,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH
2014/4/11,-0.7614,0.1412,2.6134,2.8101,0.3559,0.4148,1.739,0.7937,6614655334,8153500000,14597909900,4467150000,13.1693,9.1105,13.7357,10.1525,0.849,1.055,1.5181,1.7504,2.5977,1.5859,4.9327,3.5619
2014/4/14,0,-0.7052,-0.6742,2.4,0.2322,0.3866,0.5377,1.5321,6614655334,8096000000,14499497024,4574361600,13.1693,9.0462,13.6431,10.3961,0.849,1.0476,1.5079,1.7924,2.5977,1.5747,4.8995,3.6474
2014/4/15,-2.046,-0.5682,-1.4329,-1.3672,0.5723,0.2699,0.5766,0.8543,6479317118,8050000000,14291736509,4511821500,12.8998,8.9948,13.4476,10.254,0.8316,1.0417,1.4863,1.7679,2.5446,1.5657,4.8293,3.5976
2014/4/16,0,-0.1429,0.2295,0.9901,0.1495,0.1911,0.3737,0.6581,6479317118,8038500000,14324540801,4556493000,12.8998,8.982,13.4784,10.3555,0.8316,1.0402,1.4897,1.7854,2.5446,1.5635,4.8404,3.6332
2014/4/17,0,0.2861,0.6107,-1.8954,0.1403,0.2407,0.309,0.5129,6479317118,8061500000,14412018912,4470128100,12.8998,9.0077,13.5607,10.1592,0.8316,1.0431,1.4988,1.7515,2.5446,1.568,4.8699,3.5643
2014/4/18,-0.2611,0.5706,-0.8346,0.6662,0.1557,0.2968,0.2685,0.2926,6462399841,8107500000,14291736509,4499909100,12.8662,9.0591,13.4476,10.2269,0.8294,1.0491,1.4863,1.7632,2.5379,1.5769,4.8293,3.5881
2014/4/21,-1.3089,-2.2695,-2.0658,-1.3236,0.1983,0.3483,0.404,0.415,6377813455,7923500000,13996497882,4440347100,12.6978,8.8535,13.1698,10.0915,0.8186,1.0253,1.4556,1.7399,2.5047,1.5411,4.7295,3.5406
2014/4/22,-0.5305,0.1451,0.625,-0.0671,0.139,0.336,0.3191,0.3134,6343978901,7935000000,14083975993,4437369000,12.6304,8.8663,13.2521,10.0848,0.8142,1.0268,1.4647,1.7387,2.4914,1.5434,4.7591,3.5382
2014/4/23,0.5333,-0.2899,-0.1553,0,0.0908,0.1606,0.2409,0.2001,6377813455,7912000000,14062106465,4437369000,12.6978,8.8406,13.2315,10.0848,0.8186,1.0238,1.4624,1.7387,2.5047,1.5389,4.7517,3.5382
2014/4/24,1.3263,1.7442,3.4992,1.9463,0.5152,0.5744,1.0505,0.5448,6462399841,8050000000,14554170844,4523733900,12.8662,8.9948,13.6945,10.2811,0.8294,1.0417,1.5136,1.7725,2.5379,1.5657,4.918,3.6071
2014/4/25,-2.8796,-1.5714,-1.8032,-4.6741,0.3239,0.3366,0.5571,0.6235,6276309793,7923500000,14291736509,4312288800,12.4957,8.8535,13.4476,9.8005,0.8056,1.0253,1.4863,1.6897,2.4648,1.5411,4.8293,3.4385
2014/4/28,-1.0782,-1.7417,-2.2953,-2.279,0.1863,0.3209,0.6586,0.4325,6208640685,7785500000,13963693590,4214011500,12.3609,8.6993,13.1389,9.5771,0.7969,1.0074,1.4522,1.6512,2.4383,1.5143,4.7184,3.3601
2014/4/29,0.2725,1.034,1.9577,1.6961,0.1381,0.2184,0.5215,0.2267,6225557962,7866000000,14237062689,4285485900,12.3946,8.7892,13.3961,9.7396,0.799,1.0178,1.4806,1.6792,2.4449,1.53,4.8108,3.4171
2014/4/30,0.8152,0.8772,1.6129,2.2238,0.1004,0.2689,0.571,0.2586,6276309793,7935000000,14466692732,4380785100,12.4957,8.8663,13.6122,9.9562,0.8056,1.0268,1.5045,1.7165,2.4648,1.5434,4.8884,3.4931
2014/5/5,0.2695,0.7246,0.1512,-0.068,0.1365,0.3287,0.4799,0.2796,6293227070,7992500000,14488562260,4377807000,12.5294,8.9306,13.6328,9.9494,0.8077,1.0342,1.5068,1.7153,2.4715,1.5546,4.8958,3.4907
2014/5/6,0.5376,0.5755,0.1509,-0.068,0.0977,0.258,0.5259,0.2978,6327061624,8038500000,14510431788,4374828900,12.5967,8.982,13.6533,9.9426,0.8121,1.0402,1.509,1.7142,2.4848,1.5635,4.9032,3.4883
2014/5/7,-0.5348,-0.7153,0.1507,-3.0633,0.1168,0.3456,0.8197,0.3895,6293227070,7981000000,14532301316,4240814400,12.5294,8.9177,13.6739,9.6381,0.8077,1.0327,1.5113,1.6617,2.4715,1.5523,4.9106,3.3815
