ÈÕÆÚ,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH,000557.SZ,600125.SH,601006.SH,601333.SH
2014/5/19,0,0.1976,-1.1869,1.2097,,0.4615,0.0696,0.5255,4617177628,6618995901,99012831330,14187114870,1340.8574,15.7061,7.8015,13.9576,34.4566,1.5239,1.2847,0.6671,449.1079,1.5463,1.9285,1.1252
2014/5/20,0,0.3945,-0.3003,1.5936,,0.6221,0.0944,0.8969,4617177628,6645106339,98715495500,14413204350,1340.8574,15.768,7.7781,14.18,34.4566,1.5299,1.2808,0.6778,449.1079,1.5524,1.9227,1.1432
2014/5/21,0,0.1965,1.0542,0,,0.421,0.0975,0.2235,4617177628,6658161557,99756170905,14413204350,1340.8574,15.799,7.8601,14.18,34.4566,1.5329,1.2943,0.6778,449.1079,1.5554,1.9429,1.1432
2014/5/22,0,0,0,0,,0.5607,0.0846,0.2236,4617177628,6658161557,99756170905,14413204350,1340.8574,15.799,7.8601,14.18,34.4566,1.5329,1.2943,0.6778,449.1079,1.5554,1.9429,1.1432
2014/5/23,0,0,0,0,,0.362,0.1181,0.1599,4617177628,6658161557,99756170905,14413204350,1340.8574,15.799,7.8601,14.18,34.4566,1.5329,1.2943,0.6778,449.1079,1.5554,1.9429,1.1432
2014/5/26,0,0.1961,0.149,1.1765,,0.4985,0.0717,0.2616,4617177628,6671216776,99904838820,14582771460,1340.8574,15.83,7.8718,14.3468,34.4566,1.5359,1.2962,0.6857,449.1079,1.5585,1.9458,1.1566
2014/5/27,0,-0.9785,-0.5952,-1.1628,,0.4198,0.1146,0.147,4617177628,6605940682,99310167160,14413204350,1340.8574,15.6751,7.8249,14.18,34.4566,1.5209,1.2885,0.6778,449.1079,1.5432,1.9343,1.1432
2014/5/28,0,-0.7905,0.4491,0.3922,,1.7464,0.1039,0.1578,4617177628,6553719807,99756170905,14469726720,1340.8574,15.5512,7.8601,14.2356,34.4566,1.5089,1.2943,0.6804,449.1079,1.531,1.9429,1.1477
2014/5/29,0,-1.7928,-0.149,-1.5625,,1.3292,0.0988,0.2158,4617177628,6436222839,99607502990,14243637240,1340.8574,15.2724,7.8483,14.0132,34.4566,1.4818,1.2924,0.6698,449.1079,1.5036,1.9401,1.1297
2014/5/30,0,-0.2028,0.1493,0.3968,,0.67,0.0785,0.1683,4617177628,6423167620,99756170905,14300159610,1340.8574,15.2414,7.8601,14.0688,34.4566,1.4788,1.2943,0.6725,449.1079,1.5005,1.9429,1.1342
2014/6/3,0,-0.2033,-0.149,-0.3953,,0.5779,0.0908,0.2085,4617177628,6410112401,99607502990,14243637240,1340.8574,15.2104,7.8483,14.0132,34.4566,1.4758,1.2924,0.6698,449.1079,1.4975,1.9401,1.1297
2014/6/4,0,1.0183,0,-0.7937,,1.3454,0.0828,0.2532,4617177628,6475388495,99607502990,14130592500,1340.8574,15.3653,7.8483,13.9019,34.4566,1.4908,1.2924,0.6645,449.1079,1.5127,1.9401,1.1208
2014/6/5,0,0,0.597,0.8,,0.4806,0.0999,0.1424,4617177628,6475388495,1.00202E+11,14243637240,1340.8574,15.3653,7.8952,14.0132,34.4566,1.4908,1.3001,0.6698,449.1079,1.5127,1.9516,1.1297
2014/6/6,0,0,-0.8902,-1.1905,,0.6733,0.0994,0.1809,4617177628,6475388495,99310167160,14074070130,1340.8574,15.3653,7.8249,13.8463,34.4566,1.4908,1.2885,0.6618,449.1079,1.5127,1.9343,1.1163
2014/6/9,0,-0.4032,0,0,,0.5514,0.0753,0.1616,4617177628,6449278058,99310167160,14074070130,1340.8574,15.3034,7.8249,13.8463,34.4566,1.4848,1.2885,0.6618,449.1079,1.5066,1.9343,1.1163
2014/6/10,0,0.4049,1.0479,0.8032,,0.3905,0.1287,0.2329,4617177628,6475388495,1.00351E+11,14187114870,1340.8574,15.3653,7.9069,13.9576,34.4566,1.4908,1.302,0.6671,449.1079,1.5127,1.9545,1.1252
2014/6/11,0,0.2016,0.1481,0.3984,,0.5014,0.11,0.1464,4617177628,6488443714,1.005E+11,14243637240,1340.8574,15.3963,7.9186,14.0132,34.4566,1.4938,1.3039,0.6698,449.1079,1.5158,1.9574,1.1297
2014/6/12,0,-0.4024,-0.4438,-1.1905,,0.8694,0.1158,0.1703,4617177628,6462333276,1.00054E+11,14074070130,1340.8574,15.3343,7.8835,13.8463,34.4566,1.4878,1.2982,0.6618,449.1079,1.5097,1.9487,1.1163
2014/6/13,0,0.404,1.0401,0.8032,,0.8083,0.1453,0.2403,4617177628,6488443714,1.01094E+11,14187114870,1340.8574,15.3963,7.9655,13.9576,34.4566,1.4938,1.3117,0.6671,449.1079,1.5158,1.969,1.1252
2014/6/16,0,0,2.9412,1.5936,,0.6242,0.3333,0.3758,4617177628,6488443714,1.04068E+11,14413204350,1340.8574,15.3963,8.1998,14.18,34.4566,1.4938,1.3502,0.6778,449.1079,1.5158,2.0269,1.1432
