ÈÕÆÚ,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH
2014/4/4,43.9115,3.1586,11.1042,7.9465,3.84,16.8625,4.8844,,,,,36.5894,10.3217,6.7632,10.8369,19.4386,5.9301,6.3489,8.6958,14.8979,11.9788,,,,,,0.7146
2014/4/8,45.2771,3.19,11.2626,8.0061,3.87,16.7181,4.9217,,,,,37.0526,10.6269,6.8307,10.935,19.5614,6.1017,6.4395,8.8222,14.9756,12.2048,,,,,,0.7175
2014/4/9,44.4442,3.2882,11.4308,8.3337,3.9,16.7663,5.0018,,,,,37.0809,10.6588,6.8789,11.0232,19.977,6.1208,6.6478,8.9487,14.6939,12.2048,,,,,,0.7175
2014/4/10,44.5604,3.2725,11.3813,8.2543,3.91,17.2956,5.0306,,,,,37.0337,10.6588,6.8693,11.288,20.1942,6.1113,6.5572,9.0168,14.5094,12.2681,,,,,,0.7223
2014/4/11,43.6694,3.2489,11.0844,8.289,3.86,17.055,5.0615,,,,,36.9959,10.9048,6.8114,11.7195,20.4681,6.3115,6.5663,9.1724,14.6842,12.3133,,,,,,0.7281
2014/4/14,44.3958,3.3078,11.223,8.3188,3.86,17.9693,5.1106,,,,,35.9467,10.7955,7.0044,11.6999,20.6004,6.3877,6.675,9.1432,14.859,12.2138,,,,,,0.7194
2014/4/15,45.3255,3.2411,11.2428,8.3287,3.84,18.2196,4.9964,,,,,36.2397,10.4356,6.9272,11.9157,20.2509,6.3687,6.5572,9.0751,14.6551,11.9878,,,,,,0.7185
2014/4/16,45.955,3.2568,11.1735,8.3386,3.88,18.3062,4.9954,,,,,36.287,10.4447,6.9465,11.6901,20.1659,6.2924,6.5753,9.0557,14.3929,11.9968,,,,,,0.7185
2014/4/17,44.9575,3.2057,11.1834,8.294,3.9,18.3351,5.0903,,,,,36.079,10.258,6.8789,11.5528,19.722,6.2638,6.6297,9.1335,14.3443,11.9426,,,,,,0.7175
2014/4/18,45.8291,3.2411,11.1042,8.4826,3.92,18.5276,5.0509,,,,,36.183,10.3217,6.9368,12.3276,19.7692,6.2638,6.8651,9.2891,14.4997,12.0059,,,,,,0.7319
2014/4/21,44.6476,3.1507,11.0548,8.5471,3.82,18.0463,4.9057,,,,,35.8049,10.1851,6.8693,11.5626,19.5142,5.9301,6.7474,8.8611,14.3152,11.9336,,,,,,0.7223
2014/4/22,43.805,3.1546,10.8568,8.5819,3.79,17.4496,4.9996,,,,,35.2,10.3445,6.7342,11.592,19.3158,5.8729,6.7927,9.007,14.0627,12.0059,,,,,,0.7252
2014/4/23,44.0568,3.1153,10.748,8.7804,3.77,17.594,5.037,,,,,35.0204,10.2899,6.5799,11.3763,19.1175,5.8824,6.7927,8.9098,13.2954,11.8884,,,,,,0.7281
2014/4/24,43.5629,3.0918,10.6589,8.567,3.76,17.1127,4.9399,,,,,34.0184,9.971,6.4737,11.1605,19.0041,5.7394,6.5934,8.7639,13.2372,11.807,,,,,,0.7233
2014/4/25,40.8511,3.0014,10.263,8.289,3.71,17.1127,4.8257,,,,,33.404,9.8981,6.4448,10.9252,18.598,5.7204,6.4304,8.579,13.0429,11.5448,,,,,,0.7204
2014/4/28,36.764,2.8953,9.9661,7.748,3.51,15.8808,4.7168,,,,,32.1942,9.3789,6.3097,10.3465,18.6168,5.4629,6.3127,7.976,13.1401,10.9481,,,,,,0.7041
2014/4/29,38.1102,2.9386,10.075,7.9416,3.55,16.4871,4.7158,,,,,32.5061,9.4563,6.4255,10.6309,18.6168,5.5297,6.4032,8.2192,13.5674,10.7583,,,,,,0.7098
2014/4/30,37.4323,2.9857,10.2927,8.0805,3.6,16.6989,4.8214,,,,,32.3738,9.4563,6.4158,10.9644,19.1363,5.606,6.4666,9.0459,14.3735,10.8216,,,,,,0.7175
2014/5/5,38.0521,3.0053,10.5005,8.0458,3.62,17.1801,4.9089,,,,,32.6762,9.5656,6.4544,11.2684,19.0797,5.625,6.5119,9.5517,13.985,10.7854,,,,,,0.7166
2014/5/6,39.0787,2.9936,10.4411,8.1302,3.58,17.209,4.8983,,,,,33.4986,9.5884,6.4544,11.3665,19.0702,5.6346,6.4576,9.7657,13.9558,10.921,,,,,,0.7204
2014/5/7,37.3839,2.9346,10.4807,7.8671,3.52,16.5834,4.8289,,,,,32.8464,9.3925,6.2904,11.2096,18.9569,5.482,6.3398,9.6782,13.3149,10.7221,,,,,,0.7118
2014/5/8,36.4251,2.9268,10.4411,7.9019,3.56,16.7566,4.8129,,,,,32.8936,9.4062,6.2808,11.7588,18.9474,5.6441,6.3308,9.97,13.0041,10.7492,,,,,,0.7175
2014/5/9,35.4275,2.8561,10.4708,7.9763,3.58,16.6604,4.8022,,,,,32.0996,9.429,6.1746,11.749,18.8908,5.5106,6.2674,9.6004,12.8487,10.6227,,,,,,0.7156
2014/5/12,36.1055,2.9386,10.5698,8.2195,3.66,17.0069,4.9068,,,,,31.7499,9.6795,6.2808,11.9255,19.2025,5.606,6.4304,10.2132,13.0721,10.8396,,,,,,0.7213
2014/5/13,36.7543,2.9778,10.6688,8.1649,3.68,16.9491,4.9217,,,,,31.6743,9.6248,6.3483,11.7784,19.5897,5.6155,6.4123,10.1062,13.3052,10.8216,,,,,,0.7175
2014/5/14,36.9384,2.9621,10.7282,8.2592,3.68,16.7951,4.9036,,,,,32.3832,9.5702,6.4062,11.6705,19.4669,5.5488,6.3217,9.9797,13.1401,10.8306,,,,,,0.7204
2014/5/15,35.5437,2.9268,10.5698,7.9565,3.61,16.2658,4.8086,,,,,32.1374,9.4107,6.2711,11.3076,19.0608,5.2818,6.2493,9.5712,13.0041,10.6679,,,,,,0.7098
2014/5/16,34.4203,2.9032,10.5302,7.9565,3.74,15.9674,4.8289,,,,,31.3624,9.3606,6.2422,11.1409,18.9191,5.1865,6.1225,9.7754,12.1397,10.6498,,,,,,0.707
2014/5/19,35.7568,2.8757,10.5698,7.9565,3.76,15.6113,4.7713,,,,,31.0977,9.0873,6.1843,11.1115,18.8908,5.1388,6.1044,9.97,12.1397,10.5956,,,,,,0.7089
2014/5/20,35.3791,2.8836,10.837,7.9565,3.76,16.1214,4.7905,,,,,31.1072,9.1511,6.165,10.9742,18.7491,5.2151,5.9595,9.8727,12.0718,10.7131,,,,,,0.6954
